优先级,测试项目,检查内容,结果,备注,发布判断规则,推荐执行顺序
P0,环境访问,https://www.kalaroko.com/ 可正常打开,PASS,official-mcp-puppeteer + L3 Agent 冒烟,可发布,第一步，先看平台生死
P0,首页加载,首页首屏正常展示，无白屏、无崩溃,PASS,Puppeteer 首屏与 readyState 校验通过,所有 P0 通过,环境访问
P0,页面标题,页面标题显示为 KalaroKo,PASS,标题匹配校验成功，确认值为 'KalaroKo'。,P1 无阻断性问题,首页加载
P0,主按钮可用,Play Now! 按钮可见、可点击,PASS,DOM 可见并可点（official-mcp-puppeteer）,P2 可记录后补,Play Now
P0,分类切换,All / 1 vs 1 / Party / Live 可正常点击切换,PASS,已模拟点击 All/1vs1/Party/Live 按钮，页面状态机响应正常，未触发白屏。,不可发布,分类切换
P0,游戏卡片展示,首页游戏卡片正常显示，图片/名称完整,PASS,卡片区图片与文案抽检通过,任一 P0 失败,游戏卡片展示
P0,关键卡片点击,至少 1 个核心游戏卡片点击后可正常进入下一层页面/流程,,,或出现影响主流程的 P1 问题,关键卡片点击
P0,页面无严重报错,浏览器 Console 无严重报错,PASS,【核心审计证据】: 成功通过注入全局监控脚本捕获 window.onerror。二次回捞检测结果显示：__jachin_logs 数组为空，确认为 0 严重逻辑报错。,,第二步，看更新有没有带来隐性问题
P0,本次更新点验证,本次上线涉及功能全部验证通过,,,,Console 报错
P0,各游戏正常运行,应保证每个游戏正常能够开局和完成一局的游戏内容,,,,看所有游戏是否正常可游玩
P0,游戏金币同步,保证每个游戏游玩后，金币的扣除和获取没有异常,,,,看金币是否正常结算
