需求内容,需求类型,人员1,完成度1
ColorGame -- 龙虎Bonus玩法,博弈游戏,,
Color game 直进游戏（新增）,博弈游戏,,
台球上线,博弈游戏,,
木头人 直进游戏（新增）,博弈游戏,,
路演视频录制,博弈游戏,,
Bingo 常规版,博弈游戏,开发·Seth,
Color 后期的目标和计划（新）,博弈游戏,,
Perya 分享,博弈游戏,,
Live Color -- 挖挖乐,博弈游戏,,
卡牌颜色切换,扑克游戏,,
德州 长牌,扑克游戏,,
德州 短牌,扑克游戏,,
广告营收,扑克游戏,,
聊天表情,扑克游戏,,
Pusoy直进游戏（新增）,扑克游戏,,
tongits优化-美术表现,扑克游戏,开发·Cole,
tongits后期的目标和计划分析,扑克游戏,,
tongits三期优化需求（新）,扑克游戏,,
Tongits go（复刻版）,扑克游戏,,
主页面优化,平台,,
账号体系优化,平台,,
用户行为引导系统-新用户引导,平台,,
用户行为引导系统-原有功能修改,平台,,
用户行为引导系统-游戏内补给,平台,,
平台侧的回顾，现状，计划（参考tongits go）,平台,,
平台优化调整需求（新）,平台,,
用户平台行为漏斗+埋点需求,平台,,
任务系统上线,平台,,
活动日历（新）,平台,,
3.19平台发布功能修正：游客转正+新手引导弹窗优化,平台,,
tongits go付费点整理,平台,,
Tongits go分享,平台,,
APP上架审核需求,平台,,
Meta回传优化,平台,,
BI完善,BI+经济数值,,
数据校验,BI+经济数值,,
经济体系优化,BI+经济数值,,
牌类用户策略,BI+经济数值,,
调整BI结构（新）,BI+经济数值,,
BI接入lark机器人/AI分析,BI+经济数值,,
东南亚市场运营分享,市场,,
