需求内容,需求类型,开始时间,结束时间,当前完成度(%),完成到哪一步了
ColorGame -- 龙虎Bonus玩法,博弈游戏,2026-01-30,2026-03-12,57.1,生产发布
Color game 直进游戏（新增）,博弈游戏,2026-03-11,2026-03-11,14.3,生产发布
台球上线,博弈游戏,2026-02-24,2026-03-24,28.6,生产发布
木头人 直进游戏（新增）,博弈游戏,2026-03-11,2026-03-11,14.3,生产发布
路演视频录制,博弈游戏,2026-03-06,2026-03-06,14.3,生产发布
Bingo 常规版,博弈游戏,2026-03-06,2026-04-16,40,生产发布
Color 后期的目标和计划（新）,博弈游戏,空,未完成,0.0,未进入主线
Perya 分享,博弈游戏,空,未完成,0.0,未进入主线
Live Color -- 挖挖乐,博弈游戏,空,未完成,0.0,未进入主线
卡牌颜色切换,扑克游戏,2026-03-02,2026-03-02,14.3,生产发布
德州 长牌,扑克游戏,2026-02-01,2026-04-03,60,生产发布
德州 短牌,扑克游戏,空,未完成,0.0,未进入主线
广告营收,扑克游戏,2026-01-28,未完成,28.6,需求评审
聊天表情,扑克游戏,2026-01-23,2026-03-11,42.9,生产发布
Pusoy直进游戏（新增）,扑克游戏,2026-03-05,2026-03-05,14.3,生产发布
tongits优化-美术表现,扑克游戏,2026-03-06,2026-03-11,40,生产发布
tongits后期的目标和计划分析,扑克游戏,2026-03-12,2026-03-19,42.9,生产发布
tongits三期优化需求（新）,扑克游戏,2026-03-26,未完成,20,需求评审
Tongits go（复刻版）,扑克游戏,空,未完成,0.0,未进入主线
主页面优化,平台,2026-02-03,2026-03-19,42.9,生产发布
账号体系优化,平台,2026-02-26,2026-03-19,42.9,生产发布
用户行为引导系统-新用户引导,平台,2026-03-10,2026-03-19,57.1,生产发布
用户行为引导系统-原有功能修改,平台,2026-03-11,2026-03-19,42.9,生产发布
用户行为引导系统-游戏内补给,平台,2026-03-12,2026-03-27,42.9,生产发布
平台侧的回顾，现状，计划（参考tongits go）,平台,2026-03-23,未完成,14.3,需求文档
平台优化调整需求（新）,平台,空,未完成,0.0,未进入主线
用户平台行为漏斗+埋点需求,平台,空,未完成,0.0,未进入主线
任务系统上线,平台,2026-02-26,2026-04-02,40,生产发布
活动日历（新）,平台,空,未完成,0.0,未进入主线
3.19平台发布功能修正：游客转正+新手引导弹窗优化,平台,2026-03-25,2026-03-25,14.3,生产发布
tongits go付费点整理,平台,2026-03-06,未完成,14.3,需求文档
Tongits go分享,平台,2026-03-13,2026-03-18,28.6,生产发布
APP上架审核需求,平台,2026-03-27,2026-03-27,14.3,生产发布
Meta回传优化,平台,2026-03-11,2026-03-27,28.6,生产发布
BI完善,BI+经济数值,空,未完成,14.3,生产发布
数据校验,BI+经济数值,空,未完成,14.3,生产发布
经济体系优化,BI+经济数值,2026-03-06,2026-04-02,40,生产发布
牌类用户策略,BI+经济数值,2026-03-06,未完成,28.6,需求评审
调整BI结构（新）,BI+经济数值,2026-03-27,2026-03-27,14.3,生产发布
BI接入lark机器人/AI分析,BI+经济数值,2026-03-13,未完成,42.9,生产发布
东南亚市场运营分享,市场,空,未完成,0.0,未进入主线
